t	in	out	motor
5774.0	71.90	70.99	76.67
5776.0	71.92	70.97	76.99
5778.0	71.93	70.94	77.27
5780.0	71.95	70.92	77.52
5782.0	71.96	70.90	77.74
5784.0	71.97	70.89	77.93
5786.0	71.98	70.87	78.09
5788.0	71.99	70.86	78.23
5790.0	72.00	70.85	78.35
5792.0	72.02	70.85	78.94
5794.0	72.06	70.84	79.49
5796.0	72.11	70.84	80.01
5798.0	72.17	70.84	80.47
5800.0	72.22	70.85	80.88
5802.0	72.28	70.86	81.24
5804.0	72.33	70.87	81.56
5806.0	72.38	70.89	81.84
5808.0	72.43	70.91	82.08
5810.0	72.48	70.93	82.29
5812.0	72.52	70.96	82.47
5814.0	72.57	70.98	82.63
5816.0	72.61	71.01	82.77
5818.0	72.65	71.04	82.89
5820.0	72.69	71.08	83.00
5822.0	72.71	71.11	82.39
5824.0	72.70	71.14	81.71
5826.0	72.66	71.17	81.03
5828.0	72.62	71.20	80.40
5830.0	72.56	71.23	79.82
5832.0	72.51	71.24	79.31
5834.0	72.46	71.26	78.85
5836.0	72.41	71.26	78.44
5838.0	72.36	71.27	78.09
5840.0	72.32	71.26	77.78
5842.0	72.28	71.26	77.51
5844.0	72.24	71.25	77.28
5846.0	72.21	71.24	77.08
5848.0	72.18	71.22	76.91
5850.0	72.14	71.20	76.76
5852.0	72.13	71.18	77.22
5854.0	72.15	71.16	77.76
5856.0	72.18	71.15	78.31
5858.0	72.23	71.13	78.86
5860.0	72.28	71.12	79.37
5862.0	72.33	71.11	79.84
5864.0	72.39	71.10	80.26
5866.0	72.44	71.10	80.63
5868.0	72.48	71.11	80.96
5870.0	72.53	71.12	81.24
5872.0	72.57	71.13	81.49
5874.0	72.61	71.14	81.71
5876.0	72.65	71.16	81.90
5878.0	72.69	71.18	82.06
5880.0	72.72	71.20	82.20
5882.0	72.74	71.23	81.55
5884.0	72.71	71.25	80.76
5886.0	72.66	71.28	79.95
5888.0	72.59	71.29	79.16
5890.0	72.51	71.31	78.42
5892.0	72.43	71.32	77.75
5894.0	72.34	71.32	77.15
5896.0	72.27	71.31	76.60
5898.0	72.19	71.30	76.12
5900.0	72.12	71.28	75.70
5902.0	72.05	71.26	75.32
5904.0	71.99	71.23	74.98
5906.0	71.92	71.20	74.69
5908.0	71.86	71.17	74.42
5910.0	71.80	71.13	74.19
5912.0	71.77	71.09	74.86
